feature,mean_abs_shap,n_models
spei_09,0.8948907021547754,10
spi_12,0.7543506891067654,10
month_cos,0.669581285189,10
spi_09,0.2910172886946888,10
soil_moerige_gronden,0.26673414505890397,10
spei_12,0.2471684194883,10
cdd_days,0.17266610543135089,10
month_sin,0.1501545771133192,10
soil_podzolgronden,0.13841014199003693,10
soil_kalkhoudende_zandgronden,0.11337986616624436,10
soil_moisture_anom,0.10824868607184854,10
soil_veengronden,0.10147385749294693,10
soil_kalkloze_zandgronden,0.1006231619841546,10
soil_dominant_fraction,0.09764291062394963,10
soil_gedefinieerde_associaties,0.09239636000091345,10
soil_niet_gerijpte_minerale_gronden,0.09177426850333839,10
elevation_std,0.09105859644006706,10
soil_dikke_eerdgronden,0.0902638612185213,10
elevation_mean,0.08637233735080718,10
spi_24,0.08504770644772117,10
spei_24,0.08499235344510234,10
soil_zeekleigronden,0.07691987212480261,10
soil_zeer_oude_mariene_afzettingen,0.06407027258539051,10
soil_brikgronden,0.06018714077907465,10
soil_oude_rivierkleigronden,0.0519644265617174,10
soil_leemgronden,0.03996775576019953,10
soil_keileemgronden,0.03921754125076358,10
soil_rivierkleigronden,0.03507319277723777,10
soil_kalksteen_verweringsgronden,0.01591775645898384,10
soil_zeer_oude_fluviatiele_afzettingen,0.01490099539941698,10
